Response ID,Time Started,Date Submitted,Referer,IP Address Hash,IP Country,IP City,IP State/Region,Residency,Black/African American:Race/Ethnicity (check any that apply),Asian:Race/Ethnicity (check any that apply),"LatinX (Hispanic, Latino, or Spanish):Race/Ethnicity (check any that apply)",Middle Eastern/North African:Race/Ethnicity (check any that apply),Native American:Race/Ethnicity (check any that apply),Pacific Islander:Race/Ethnicity (check any that apply),White:Race/Ethnicity (check any that apply),"I consider myself a member of an historically excluded group (e.g. Person of Color, LGBTQ)",Age,Gender,Mental Health Issues:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Homelessness:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Substance Abuse:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Protests and Demonstrations:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Traffic:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Intimate Partner Violence:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,Other - Write In:Which of the following do you think should be handled by trained social workers or other non-police personnel? Check all that apply.,"Do you believe police officers treat every community member with equal fairness and respect without considering their race, gender, age, religion or sexual orientation?","Have you or someone you know experienced  physical mistreatment, harassment, or intimidation by a police officer?","If yes, please elaborate","Requiring de-escalation and strict guidelines on using force, especially deadly force:Please indicate which of the following changes to policing you support:",Requiring mandatory body camera use and the automatic release of bodycam footage with 30 days of any major incident:Please indicate which of the following changes to policing you support:,"Publicly releasing all data on police interactions that require filing a report, including the race of the community members?:Please indicate which of the following changes to policing you support:","Ending profiling, ""Stop and Frisk"", and policing of minor issues:Please indicate which of the following changes to policing you support:",Requiring strong civilian oversight boards that can set policy and investigate complaints:Please indicate which of the following changes to policing you support:,"Prioritizing resources towards rigorous training to reinforce policies, including testing for bias in shoot/don't shoot decision making:Please indicate which of the following changes to policing you support:","Banning No Knock, and Knock and Enter warrants:Please indicate which of the following changes to policing you support:","Restricting the purchase, use, and deployment of military equipment:Please indicate which of the following changes to policing you support:",Removing any barriers in police contracts to effective misconduct investigations and civilian oversight:Please indicate which of the following changes to policing you support:,"Has anyone stolen something from you, your car, or your residence in the past 12 months, or have you been the victim of a crime?",How many times have you been involved in a traffic stop with a member of the Saratoga Springs Police Department?,How many times have you had contact with a member of the Saratoga Springs Police Department for something other than a traffic stop?,The SSPD listens to local residents and understands the issues that affect your neighborhood:Do you agree with the following statements?,The SSPD works together with community members to solve local problems.:Do you agree with the following statements?,I trust the SSPD to make decisions that are good for everyone in our city:Do you agree with the following statements?,The SSPD is effective at fighting crime:Do you agree with the following statements?,I trust the SSPD to investigate and discipline its own officers:Do you agree with the following statements?,"If I have a complaint against SSPD, I am confident it will be acted on objectively and respectfully:Do you agree with the following statements?",I can count on the SSPD to be there when I need them:Do you agree with the following statements?,"SSPD Officers uniformly treat people with fairness and respect without considering their race, gender, age, religion or sexual orientation:Do you agree with the following statements?",I approve of having police patrol my local neighborhood daily:Do you agree with the following statements?,I would like more officers moved from cars to out on foot patrol walking a beat:Do you agree with the following statements?,"Overall, how satisfied are you with the Saratoga Springs Police Department?",How would you improve the SSPD?,Entered Email
645,"Jan 28, 2021 3:03:49 AM","Jan 28, 2021 3:13:02 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,2uoYUz0DF95Au+DrlPOyIg==,United States,Apo,AE,1,,,,,,,7,0,3,2,,,,,,,,,1,0,,0,0,0,0,0,0,0,0,0,1,2,0,5,5,5,5,5,5,5,5,5,3,5,"I would be okay welcoming more officers into our growing town. I know Homelessness is a major issue in the town but I don't know the laws that restrict movement of the group. As for the recent activists who have come to the town, they don't not represent the residents of Saratoga. Most of them are radicals from other towns. We shouldn't conform such a small group of people",Yes
646,"Jan 28, 2021 3:35:00 AM","Jan 28, 2021 3:35:00 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,LYEcnUmG+tk4QcirpaQbMg==,Singapore,Singapore,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
647,"Jan 28, 2021 4:11:24 AM","Jan 28, 2021 4:17:58 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,5lMqrfiG5UX6am0GJKN4zg==,United States,Latham,NY,3,,,,,,,,1,,,,,,,,,,,1,0,,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,3,5,,No
648,"Jan 28, 2021 4:43:37 AM","Jan 28, 2021 4:04:04 PM",https://l.facebook.com/,alGXB1iQR8nSaz4dVEsSBQ==,United States,Apalachin,NY,1,,,,,,,7,0,4,2,1,1,1,,,1,,,0,0,,1,1,1,1,1,1,1,1,1,0,1,2,4,3,2,3,1,3,4,2,4,4,3,Use of force investigations handled outside the department ,No
649,"Jan 28, 2021 5:32:03 AM","Jan 28, 2021 5:58:38 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,FmYT7FHIeEGxfQfTDGn0VA==,United States,Saratoga Springs,NY,1,,,,,,,7,0,6,1,1,1,1,,,1,,,1,0,,1,1,1,1,1,1,0,2,2,0,0,0,4,4,4,4,5,4,4,4,4,5,4,"I only live in Saratoga Springs for 1 1/2years..Never saw any Police Officers do anything wrong..I grew up in Chicago and my Dad was a Chicago Police Officer for 38 years..There were great police officers, bad and worse...But, with a small police department, they can not be every where at the same time...If they feel there should be more officers, then the Higher up should take care of the matters..Blue Lives Matters..   ",Yes
650,"Jan 28, 2021 5:51:38 AM","Jan 28, 2021 5:55:32 AM",android-app://com.google.android.gm/,+fb7ktw4/g3F8iIr5v4a4g==,United States,Rome,NY,2,,,,,,,7,0,4,2,1,1,1,,,,,,2,0,,2,1,1,1,2,2,1,1,1,0,2,1,4,3,3,3,2,3,4,3,4,3,4,,No
651,"Jan 28, 2021 6:11:37 AM","Jan 28, 2021 6:16:36 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,adNO+BnOT5gI6KMttwONwg==,United States,Voorheesville,NY,3,,,,,,,7,0,4,2,,,,,,,,,1,0,,0,2,2,0,0,1,0,0,2,0,0,1,4,4,4,4,4,4,4,4,4,4,4,,No
652,"Jan 28, 2021 6:12:12 AM","Jan 28, 2021 6:14:28 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,SIdBJ/gsAqz/Meh6ZnHrkQ==,United States,Saratoga Springs,NY,1,1,,,,,,7,0,4,2,,,,,,,1,,1,0,,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,4,4,4,5,4,5,4,5,,No
653,"Jan 28, 2021 6:43:31 AM","Jan 28, 2021 6:47:06 AM",http://m.facebook.com,MSW32ir6sTNbWyBRrGzdXA==,United States,Troy,NY,3,,,,,,,7,1,3,1,1,1,1,,,1,,,0,0,,1,1,1,1,2,1,2,2,1,0,1,0,3,3,2,3,2,2,3,2,3,3,2,,No
654,"Jan 28, 2021 6:52:58 AM","Jan 28, 2021 7:10:49 AM",http://m.facebook.com,PVf6YuYXSbpwc8DuPnZxiA==,United States,Schenectady,NY,3,,,,,,,7,0,4,2,1,1,1,1,1,1,,,0,1,"I work in Saratoga. Should be an option in the beginning. When we criminalize poverty and addiction, these interactions are inherently dangerous. I have personally been intimidated by officers in Saratoga and by the park police. I have seen POC be targeted at events and assistance delays for ""questionable"" individuals. I watch the police ""monitor' the homeless for hours (ie: sit face-to-face in their suv) downtown. Its sad, intimidating for ME, and generates distrust in the department.",1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,3,1,1,2,2,3,3,3,"Police should be investigating and preventing REAL crimes. We do not need to criminalize childhood mistakes, poverty, addiction, traffic infractions, and learning opportunities. If we teach, share resources and help people to do better generally-they will. ",Yes
655,"Jan 28, 2021 7:00:29 AM","Jan 28, 2021 7:03:48 AM",https://mail.saratogapolice.org/,/1U8CqFASnti0io1dcK6tg==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,4,1,1,1,1,1,1,,,1,0,,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,5,5,5,5,2,4,Let them arrest protestors,No
656,"Jan 28, 2021 7:00:33 AM","Jan 28, 2021 7:06:28 AM",http://m.facebook.com/,TA7NLpbR9f7Jwye2PojMUg==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,1,1,1,1,1,1,1,1,Known internal bias,2,0,,1,1,1,1,1,1,1,0,1,1,1,1,4,4,4,4,3,4,4,4,5,3,5,"More community interactions like BBQs, fundraiser. Something that can help the community and police force awe each other outside of crime interactions. ",No
657,"Jan 28, 2021 7:03:46 AM","Jan 28, 2021 7:07:40 AM",http://m.facebook.com,QikBY5lp/1w8joB9opgE4A==,United States,Schenectady,NY,1,,,3,,,,7,1,4,1,1,1,1,1,,1,,,2,0,,1,1,1,1,2,1,1,1,1,0,0,0,3,3,3,3,2,2,3,3,2,3,3,,No
658,"Jan 28, 2021 7:17:00 AM","Jan 28, 2021 7:17:00 AM",https://l.instagram.com/?u=https%3A%2F%2Fsurvey.alchemer.com%2Fs3%2F5800463%2FSaratoga-Policing-Survey%3Ffbclid%3DIwAR2nXei9Q6SbKrkX-mc-n6U-5wSIXgVqKk11iDSyqqAoXWtgkpHnPmvJjTM&e=ATMR5-6veOyWtQWfpVU9Rb7-xZW0nv8ISoU5yv0BEn-u8wziFF3lScTJCl99YRmUej2C4KyUJlY7P85kugDW&s=1,yKRLHLA16n9pgxfLALTjwQ==,United States,Burlington,VT,3,,,,,,,7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
659,"Jan 28, 2021 7:20:10 AM","Jan 28, 2021 7:24:03 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,NVSNHJdI2qXV0iaowA6b4A==,United States,Passaic,NJ,4,,,,,,,7,0,3,2,,,,,,,,,1,0,,2,2,0,0,0,1,0,0,0,0,1,4,5,5,5,5,5,5,5,5,5,3,5,,Yes
660,"Jan 28, 2021 7:21:20 AM","Jan 28, 2021 7:21:42 AM",https://l.facebook.com/,F3NBtFAPippB+C8xObTkvA==,United States,Saratoga Springs,NY,5,,,,,,,7,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
661,"Jan 28, 2021 7:23:36 AM","Jan 28, 2021 7:29:43 AM",https://m.facebook.com/,M31hY7K55/ix0f10wmsy3w==,United States,Ballston Spa,NY,1,,,,,,,7,1,4,1,1,1,1,1,,,,,2,0,,1,1,1,1,1,1,1,1,1,1,0,0,4,3,3,4,3,3,4,3,3,3,4,,No
662,"Jan 28, 2021 7:26:27 AM","Jan 28, 2021 7:32:39 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,1,,,,,,,7,0,5,2,1,1,1,,,,,,1,0,,1,1,0,0,0,1,0,0,0,0,1,1,5,4,5,5,5,5,5,4,5,3,5,Get as much training as possible.,Yes
663,"Jan 28, 2021 7:27:29 AM","Jan 28, 2021 7:40:10 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,2,,,,,,,7,0,4,1,1,1,,,,,,,2,1,"I believe officers need training to recognize those with special needs. My son has [medical condition redacted].  He looks like your typical [age redacted].  However, his odd behavior is noticable, although not threatening.  A police officer mistook him for a drunken person and scared the heck out of him.  I need him to trust police.  My son doesn't trust anyone in uniform at the moment.  The police are supposed to keep he and everyone else safe.  My younger son is training to be an officer.  I respect the police, but agree a fine tuning is desperatly needed.  Thank you.",0,1,1,1,1,1,1,1,1,0,0,1,2,3,1,4,1,3,5,1,4,4,2,More training in areas of phychology that will allow them to understand the people they are trying to serve.,Yes
664,"Jan 28, 2021 7:28:17 AM","Jan 28, 2021 7:39:28 AM",http://m.facebook.com/,ET7StT8dSrDV70JNnLoO4w==,United States,Richfield Springs,NY,2,,,,,,,7,1,5,1,1,1,1,1,1,1,,,0,1,"A member of my extended family is black. His wife is white.. He is also a paramedic. He is pulled over when driving often even when his wife is with them. If she is driving, there is a definite difference in how they are treated. If he is driving either with her or is on his own, the attitude of some officers is different. More suspicious and at times confrontational. ",1,1,1,1,1,1,1,1,1,0,0,1,3,3,3,3,3,3,3,3,4,4,3,As above.,Yes
665,"Jan 28, 2021 7:31:53 AM","Jan 28, 2021 7:39:31 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,4,,,,,,,7,0,4,2,1,1,,1,,,,,0,0,,1,1,1,0,1,1,2,1,1,0,0,0,3,3,3,3,2,3,4,3,4,4,3,More community involvement and more training to serve each situation.  Less violent response and use of force only when there is a direct threat to others or others property.,No
666,"Jan 28, 2021 7:32:01 AM","Jan 28, 2021 7:43:05 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,4B2xxYBmMPQ79NcfGbMC6Q==,United States,Saratoga Springs,NY,1,,,,4,,,,0,2,2,1,1,1,,,,,,1,0,,2,2,0,0,0,0,0,0,2,1,0,1,5,4,3,5,4,4,5,5,4,3,5,I would eliminate the loophole where officer ( and firefighters) significantly increase their pensions at the end of their career by increasing their pay during the final years of service instead create a measure of the overall career inclome. This is stealing from the people that support them and its a crime that our elected officials can put an end to.,No
667,"Jan 28, 2021 7:30:20 AM","Jan 28, 2021 7:30:20 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,4,,,,,,,7,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
668,"Jan 28, 2021 7:37:56 AM","Jan 28, 2021 7:58:22 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,3,,,,,,,7,0,5,2,1,1,1,,,,,,2,0,,1,1,0,0,0,2,0,1,2,0,0,0,4,4,3,4,4,5,4,3,4,2,3,Hiring of qualified applicants is of the utmost importance. Creating a culture that has positive interaction with the community through communication and transparency. . ,No
669,"Jan 28, 2021 7:40:45 AM","Jan 28, 2021 7:44:20 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,SQZ6orhYOH3hEeuhHxuodg==,United States,Latham,NY,1,,,,,,,7,0,4,2,1,1,1,,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,1,1,,Yes
670,"Jan 28, 2021 7:47:35 AM","Jan 30, 2021 7:20:10 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,a5pGPNZB2KM2rYoqXRWpgQ==,United States,Gansevoort,NY,2,,,,,,,7,0,4,1,1,1,1,,,,,,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,5,5,5,5,5,5,5,5,5,3,5,,Yes
671,"Jan 28, 2021 7:49:39 AM","Jan 28, 2021 8:06:18 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,g3ESbYwL7yU6b45J66goRg==,United States,Ballston Spa,NY,2,,,,,,,7,0,3,1,1,1,1,1,,1,,,0,1,"Last year, my boyfriend (who is white) was pulled over for no given reason by the officer while I was in the car.  And when the police decided he didn't like my boyfriend's story of coming from  [location redacted] (even though it was the middle of the day which makes it plausible and was also true), the officer made him get out of the car and used intimidating language before letting him come back to our car and then drove off.  Still no clear reason why he was pulled over. ",1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,3,2,2,3,2,1,1,2,"Improve hiring of the police force representing black and brown communities and women, decrease police patrolling the community- there seems to always be too many police cars driving around Saratoga.  Increase social workers and non-police personnel for non-violent related issues, especially for homelessness, substance use or possession and some domestic disputes (depending on risk assessment for further danger to partner or others entering home).  ",Yes
672,"Jan 28, 2021 7:56:07 AM","Jan 28, 2021 8:02:40 AM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,2,,1,,,,,,,1,0,,1,0,1,0,0,1,0,0,0,1,1,4,5,5,5,5,5,5,5,5,5,2,5,NA,No
673,"Jan 28, 2021 8:08:08 AM","Jan 28, 2021 8:13:10 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,AtgFYSZUNLfyLWs/Bad2mA==,United States,Ballston Spa,NY,1,,,,,,,7,0,,1,,1,,,,,,,1,0,,0,1,0,0,0,0,0,0,0,1,,1,5,5,5,5,5,5,5,5,5,3,5,I really feel safe with our police felt no improvement needed,No
674,"Jan 28, 2021 8:09:56 AM","Jan 28, 2021 8:09:56 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,LPFkgdd8KUBWUCv9KwAr+A==,United States,Ballston Spa,NY,1,,,,,,,7,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
675,"Jan 28, 2021 8:28:34 AM","Jan 28, 2021 8:33:08 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,pRbX660TIQ9H21InASpM4A==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,1,1,1,,,1,,,0,0,,1,1,1,2,1,1,0,2,2,0,1,2,3,3,3,4,4,4,4,3,4,2,4,,No
676,"Jan 28, 2021 8:30:21 AM","Jan 28, 2021 8:30:21 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,5aCNP3vj3Ow8LH8r+bA9zA==,United States,Saratoga Springs,NY,2,,,,,,,7,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
677,"Jan 28, 2021 8:32:41 AM","Jan 28, 2021 8:32:41 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,X+/1jpcLp+5JioqUtF6BlQ==,United States,Dorchester,MA,4,,,,,,,7,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
678,"Jan 28, 2021 8:32:40 AM","Jan 28, 2021 8:37:13 AM",android-app://com.google.android.gm/,16+hyyyQkM4nmEe72sxZBw==,United States,Ballston Spa,NY,1,,,,,,,7,0,4,1,,,,,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,1,5,,No
679,"Jan 28, 2021 8:35:23 AM","Jan 28, 2021 8:38:09 AM",http://m.facebook.com,LtN4YunHoVKXmNEWtgufcQ==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,1,,,,,,,,0,0,,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,No
680,"Jan 28, 2021 8:37:31 AM","Jan 28, 2021 8:41:46 AM",http://m.facebook.com/,SWL0bFR+Les9lnAoK3z7XQ==,United States,Saratoga Springs,NY,1,,,,,,,7,0,4,1,1,,,,,,,,2,0,,1,1,0,1,0,1,0,0,0,1,0,1,4,4,4,4,3,4,4,4,3,2,4,,No
681,"Jan 28, 2021 8:38:11 AM","Jan 28, 2021 8:38:11 AM",https://l.facebook.com/,3Ue1kiLrFSehNlcVt5Vy3Q==,United States,Saratoga Springs,NY,1,,,,,,,7,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
682,"Jan 28, 2021 8:38:53 AM","Jan 28, 2021 8:38:53 AM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,1,,,,,,,7,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
683,"Jan 28, 2021 8:39:12 AM","Jan 28, 2021 8:43:13 AM",https://mail.saratogapolice.org/,zGRChvIl8Ej7OKSB2QANMw==,United States,Saratoga Springs,NY,1,,,,,,,7,1,4,2,1,,,,,,,,1,0,,2,0,0,0,0,0,0,0,2,1,2,1,5,5,5,5,5,5,5,5,5,4,5,More Officers,No
684,"Jan 28, 2021 8:41:53 AM","Jan 28, 2021 9:09:56 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,rwSiXVpkObddH7hxAsiUHw==,United States,Richfield Springs,NY,1,,,,,,,7,0,5,1,1,1,1,1,,1,,,0,1,"The Darryl Mount, Jr. Case and the lack of transparency. Police catering to the tourists from the Racetrack over needs of residents.",1,1,1,1,1,1,2,1,1,0,0,1,3,3,3,3,3,4,4,3,5,4,3,"Transparency in actions and reporting. Not catering to the people with money coming into our town. Have more de-escalation training repeatedly. Have more non aggressive options. Be partnered with mental health professionals in each area of expertise- domestic violence, substance abuse, mental health, youth needs. Have oversight by a diverse, multi-cultural body of people.  Keep working to have community programs to have police integrated and known to people so that trust can build, break down fears of police involvement.",No
685,"Jan 28, 2021 8:43:19 AM","Jan 28, 2021 8:48:47 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,2u6RYjOb2fAY8buKQXB9tA==,United States,Ballston Spa,NY,2,,,,,,,7,0,5,2,1,1,1,1,,,,,2,0,,1,1,1,1,1,1,1,1,1,0,1,0,3,3,3,4,2,4,4,3,4,3,4,,Yes
686,"Jan 28, 2021 8:43:44 AM","Jan 28, 2021 8:48:11 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,0OoW1HJAq+ZeFqiIczYxCQ==,United States,Brooklyn,NY,2,,,,,,,7,0,5,2,1,1,,,,,,,1,0,,0,1,1,0,1,1,2,2,1,,,,,,,,,,,,,,,,No
687,"Jan 28, 2021 8:48:17 AM","Jan 28, 2021 8:48:17 AM",http://m.facebook.com,wsV6H36sW+aTQNeFDAOd8A==,United States,Saratoga Springs,NY,1,,,,,,,7,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
688,"Jan 28, 2021 8:55:16 AM","Jan 28, 2021 8:55:16 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,6ituRvJELQAxUd0f3rGz0w==,United States,Albany,NY,2,,,,,,,7,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
689,"Jan 28, 2021 9:05:21 AM","Jan 28, 2021 9:12:10 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,KVtZnCikX7akn11/Y7pGsA==,United States,Troy,NY,1,,,,,,,7,0,5,2,1,1,1,,,,,,0,1,,1,1,0,2,0,0,0,0,1,1,0,1,2,2,2,3,2,3,2,2,4,4,2,"Teach them to understand they are there to serve and protect.  While the challenges presented by the young bar patrons are frustrating, they need better anger management/self-restraint skills than the current force currently demonstrates.  Frustration is understandable -- their actions/attitude often unacceptable to represent this city. ",No
690,"Jan 28, 2021 9:09:00 AM","Jan 28, 2021 9:11:27 AM",https://l.facebook.com/,vHsSfspCSZAoHnGQsPjM9Q==,United States,Ballston Spa,NY,1,1,,,,,,,0,4,4,1,,1,,,1,,,1,0,,2,1,0,0,0,1,0,0,1,0,1,0,4,4,4,4,4,4,4,4,4,3,4,,No
691,"Jan 28, 2021 9:08:10 AM","Jan 28, 2021 9:11:51 AM",android-app://com.google.android.gm/,AC7SpiXRIHs3hhNmBVMuIA==,United States,Saratoga Springs,NY,1,,,,,,,7,0,5,2,1,1,1,,,,,,1,0,,1,1,1,0,1,1,0,1,1,0,1,4,4,4,4,3,3,3,3,3,5,4,5,,No
692,"Jan 28, 2021 9:17:12 AM","Jan 28, 2021 9:39:16 AM",http://m.facebook.com,oo3uyaf5FkUgDl05pm5NEg==,United States,Saratoga Springs,NY,1,,,,,,,7,0,6,1,,,,,,,,,,,,,,,,,,,,,0,0,1,5,5,5,5,5,5,5,5,5,4,5,,Yes
693,"Jan 28, 2021 9:27:14 AM","Jan 28, 2021 9:53:51 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,aJ36uKsKc5bZ2shIAAhY/A==,United States,Ballston Spa,NY,1,,,,,,,7,0,5,1,1,1,,,,,,,2,1,"Intimidation, yes, but appropriate to the situation. Their job is to enforce the law. There will be times when a non-compliant person will need ""intimidating."" Also: Question #7 is poorly written and misleading.",1,2,0,2,2,1,2,0,2,0,0,4,4,4,4,4,3,3,5,3,4,3,5,"I would have them invite acitivists to walk in their shoes for a day or two, if they haven't yet. This will lead to true understanding of where their strengths are, their weaknesses, the challenges they face, and where the community can support them and help them improve their service to the whole community.  I would also encourage the PD to do more diversity training.  Again, your questions are loaded and are biased. ""SSPD Officers uniformly treat people with fairness and respect without considering their race, gender, age, religion or sexual orientation."" How can anyone realistically answer that? Most likely, there are some officers (humans) that do this better than others, like any other human. Those that need to work on it, should be called to work on it. I have encountered many VERY compassionate and respectful SSPD police offices. Please don't lump them as all the same and failing.",No
694,"Jan 28, 2021 9:29:13 AM","Jan 28, 2021 9:37:22 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,lhXNzilwnvjHkvJIeL1bmA==,United States,Saratoga Springs,NY,2,,,,,,,7,0,5,2,1,1,,,,,,,2,1,People I know who were pulled over unquestionably because they are black. ,1,1,2,0,2,1,2,2,1,0,0,0,4,4,4,4,4,3,4,4,4,3,4,,Yes
695,"Jan 28, 2021 9:30:01 AM","Jan 28, 2021 9:38:08 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey?fbclid=IwAR27T1re8o7bqDOSxv3w25ukIOdTOqQG2MBzxLbGVA0ZMK8e3beBgUBBCGo,EdLzg6yL6ZiIf9zK/zse2Q==,United States,Clifton Park,NY,2,,,,,,,7,0,4,2,,,,,,,,,1,0,,0,0,1,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,2,4,,No
696,"Jan 28, 2021 9:33:50 AM","Jan 28, 2021 12:04:53 PM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,m3S6qtQfjPJBjb9xJA+7Yg==,United States,Ballston Spa,NY,1,,,,,,,7,1,3,1,1,,1,,,,,,2,0,,2,1,2,1,1,1,2,0,2,0,0,2,4,4,4,4,3,4,4,4,5,3,4,More community outreach in at-risk neighborhoods so youth feel comfortable with police presence and if the children ever need help they are aquatinted with local officers. ,Yes
697,"Jan 28, 2021 9:43:20 AM","Jan 28, 2021 9:50:28 AM",http://m.facebook.com,v5biW0uW6BVG/SxZtHUSIw==,United States,Clifton Park,NY,4,,,,,,,7,0,4,1,1,1,1,1,1,1,,,0,1,A family member faced constant harassment by a police officer who threatened her and abused his power to the point of basically stalking her. He would follow her and pull her over constantly. He went to her house. He would make demands that he was not legally authorized to do,1,1,1,1,1,1,1,1,1,0,0,0,3,3,1,3,1,1,3,1,1,3,3,,No
698,"Jan 28, 2021 9:50:30 AM","Jan 28, 2021 9:58:09 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,tPz3Hj9JVlkG/X2904UVmg==,United States,Albany,NY,2,,,,,,,7,0,4,2,1,1,1,,,,,,1,0,,0,1,1,0,1,1,2,2,1,0,1,0,4,4,4,4,4,4,4,4,4,4,4,Add more officers ,Yes
699,"Jan 28, 2021 9:55:40 AM","Jan 28, 2021 10:02:48 AM",https://survey.alchemer.com/s3/5800463/Saratoga-Policing-Survey,7axEyW5lKHA/VXBMyycR2Q==,United States,Schenectady,NY,3,,,,,,,7,0,5,2,,,,,,,,,1,0,,0,1,2,0,1,1,0,0,2,0,0,0,4,4,4,4,4,4,4,4,5,3,4,"Police Officer have a tough job, with today's technology everything they do can be caught on film which makes there job even harder, if you obey to the laws and follow instruction the officer give you you should not have any issues.",No
700,"Jan 28, 2021 9:59:31 AM","Jan 28, 2021 10:03:01 AM",http://m.facebook.com,hMe9SvJO8p7l4H+Vb3Ak5A==,United States,Saratoga Springs,NY,1,,,,,,,7,0,5,1,1,1,,,,,,,2,0,,1,1,1,1,1,1,1,1,1,0,0,2,3,3,3,4,3,3,3,3,4,3,3,,No
